,close
2019/11/26,58.32
2019/11/27,58.14
2019/11/29,55.42
2019/12/02,55.99
2019/12/03,56.32
2019/12/04,58.35
2019/12/05,58.33
2019/12/06,59.07
2019/12/09,58.91
2019/12/10,59.09
2019/12/11,58.8
2019/12/12,59.22
2019/12/13,59.78
2019/12/16,60.22
2019/12/17,60.54
2019/12/18,60.8
2019/12/19,61.08
2019/12/20,60.36
2019/12/23,60.64
2019/12/24,61.14
2019/12/26,61.75
2019/12/27,61.72
2019/12/30,61.66
2019/12/31,61.21
2020/01/02,61.18
2020/01/03,63.04
2020/01/06,62.83
2020/01/07,62.69
2020/01/08,59.98
2020/01/09,59.59
2020/01/10,59.12
2020/01/13,58.09
2020/01/14,58.14
2020/01/15,58.1
2020/01/16,58.59
2020/01/17,58.84
2020/01/21,58.24
2020/01/22,56.08
2020/01/23,55.05
2020/01/27,52.83
2020/01/28,53.98
2020/01/29,53.08
2020/01/30,52.95
2020/01/31,51.63
2020/02/03,49.91
2020/02/04,49.45
2020/02/05,51.17
2020/02/06,51.09
2020/02/07,50.34
2020/02/10,49.65
2020/02/11,49.95
2020/02/12,51.69
2020/02/13,51.52
2020/02/14,52.25
2020/02/18,52.36
2020/02/19,53.74
2020/02/20,53.73
2020/02/21,53.46
2020/02/24,51.34
2020/02/25,49.89
2020/02/26,48.65
2020/02/27,46.34
2020/02/28,45.26
2020/03/02,47.52
2020/03/03,47.1
2020/03/04,47.2
2020/03/05,46.01
2020/03/06,41.57
2020/03/09,30.24
2020/03/10,34.85
2020/03/11,33.12
2020/03/12,30.99
2020/03/13,32.93
2020/03/16,28.69
2020/03/17,26.82
2020/03/18,22.39
2020/03/19,25.65
2020/03/20,23.64
2020/03/23,23.78
2020/03/24,24.33
2020/03/25,24.31
2020/03/26,23.18
2020/03/27,21.84
2020/03/30,20.28
2020/03/31,20.1
2020/04/01,21.2
2020/04/02,24.75
2020/04/03,29
2020/04/06,26.3
2020/04/07,24.26
2020/04/08,26.14
2020/04/09,23.19
2020/04/13,22.42
2020/04/14,20.82
2020/04/15,20.15
2020/04/16,19.75
2020/04/17,25.14
2020/04/20,21.22
2020/04/21,13.12
2020/04/22,14.23
2020/04/23,16.87
2020/04/24,17.18
2020/04/27,12.93
2020/04/28,13.27
2020/04/29,15.35
2020/04/30,19.09
2020/05/01,19.69
2020/05/04,21.18
2020/05/05,25.28
2020/05/06,24.09
2020/05/07,24.84
2020/05/08,26.04
2020/05/11,25.38
2020/05/12,25.86
2020/05/13,25.92
2020/05/14,27.98
2020/05/15,29.78
2020/05/18,32.37
2020/05/19,31.86
2020/05/20,33.52
2020/05/21,33.91
2020/05/22,33.56
2020/05/26,35.01
2020/05/27,33.12
2020/05/28,34.43
2020/05/29,36.02
2020/06/01,36.25
2020/06/02,37.39
2020/06/03,37.31
2020/06/04,37.92
2020/06/05,39.47
2020/06/08,38.63
2020/06/09,38.83
2020/06/10,39.48
2020/06/11,36.64
2020/06/12,37.01
2020/06/15,37.68
2020/06/16,38.42
2020/06/17,38.22
2020/06/18,39.16
2020/06/19,39.61
2020/06/22,40.71
2020/06/23,40.14
2020/06/24,38.07
2020/06/25,39.04
2020/06/26,38.16
2020/06/29,39.63
2020/06/30,39.82
2020/07/01,39.71
2020/07/02,40.29
2020/07/03,40.32
2020/07/06,40.59
2020/07/07,40.49
2020/07/08,40.88
2020/07/09,39.59
2020/07/10,40.62
2020/07/13,39.6
2020/07/14,40.44
2020/07/15,40.99
2020/07/16,40.73
2020/07/17,40.77
2020/07/20,40.8
2020/07/21,41.58
2020/07/22,41.89
2020/07/23,41.06
2020/07/24,41.34
2020/07/27,41.65
2020/07/28,41.08
2020/07/29,41.32
2020/07/30,40.33
2020/07/31,40.43
2020/08/03,40.77
2020/08/04,41.53
2020/08/05,42.2
2020/08/06,41.97
2020/08/07,41.6
2020/08/10,41.99
2020/08/11,41.61
2020/08/12,42.56
2020/08/13,42.34
2020/08/14,42.23
2020/08/17,42.81
2020/08/18,42.55
2020/08/19,42.96
2020/08/20,42.76
2020/08/21,42.25
2020/08/24,42.39
2020/08/25,43.4
2020/08/26,43.41
2020/08/27,43.02
2020/08/28,42.93
2020/08/31,42.82
2020/09/01,43
2020/09/02,41.58
2020/09/03,41.28
2020/09/04,39.51
2020/09/08,36.84
2020/09/09,37.78
2020/09/10,37
2020/09/11,37.39
2020/09/14,37.26
2020/09/15,38.39
2020/09/16,40.18
2020/09/17,40.97
2020/09/18,40.98
2020/09/21,39.83
2020/09/22,39.75
2020/09/23,39.59
2020/09/24,40.19
2020/09/25,40.04
2020/09/28,40.57
2020/09/29,39.11
2020/09/30,39.86
2020/10/01,38.58
2020/10/02,37.01
2020/10/05,39.35
2020/10/06,39.83
2020/10/07,40.04
2020/10/08,41.27
2020/10/09,40.52
2020/10/12,39.49
2020/10/13,40.18
2020/10/14,41.11
2020/10/15,40.92
2020/10/16,41.03
2020/10/19,40.93
2020/10/20,41.24
2020/10/21,40
2020/10/22,40.61
2020/10/23,39.78
2020/10/26,38.6
2020/10/27,38.93
2020/10/28,37.38
2020/10/29,36.11
2020/10/30,35.72
2020/11/02,37.05
2020/11/03,37.84
2020/11/04,39.02
2020/11/05,38.52
2020/11/06,37.4
2020/11/09,40.01
2020/11/10,41.4
2020/11/11,41.51
2020/11/12,40.99
2020/11/13,40.18
2020/11/16,41.38
2020/11/17,41.4
2020/11/18,41.9
2020/11/19,42.04
2020/11/20,42.38
2020/11/23,42.86
2020/11/24,44.91
2020/11/25,45.83
2020/11/27,45.52
2020/11/30,45.17
2020/12/01,44.55
2020/12/02,45.19
2020/12/03,45.66
2020/12/04,46.04
2020/12/07,45.72
2020/12/08,45.65
2020/12/09,45.57
2020/12/10,46.9
2020/12/11,46.61
2020/12/14,47
2020/12/15,47.53
2020/12/16,47.79
2020/12/17,48.42
2020/12/18,49.21
2020/12/21,47.74
2020/12/22,46.9
2020/12/23,48.03
2020/12/24,48.3
2020/12/28,47.69
2020/12/29,47.99
2020/12/30,48.31
2020/12/31,48.41
2021/01/04,47.33
2021/01/05,49.99
2021/01/06,50.39
2021/01/07,50.97
2021/01/08,52.59
2021/01/11,52.13
2021/01/12,53.16
2021/01/13,52.9
2021/01/14,53.63
2021/01/15,52.17
2021/01/19,53.01
2021/01/20,53.26
2021/01/21,53.03
2021/01/22,52.09
2021/01/25,52.8
2021/01/26,52.53
2021/01/27,52.62
2021/01/28,52.27
2021/01/29,52.2
2021/02/01,53.67
2021/02/02,54.87
2021/02/03,55.81
2021/02/04,56.35
2021/02/05,56.96
2021/02/08,58.05
2021/02/09,58.4
2021/02/10,58.45
2021/02/11,57.96
2021/02/12,59.65
2021/02/16,60.17
2021/02/17,61.23
2021/02/18,60.05
2021/02/19,59.04
2021/02/22,61.6
2021/02/23,61.84
2021/02/24,63.44
2021/02/25,63.44
2021/02/26,61.66
2021/03/01,60.2
2021/03/02,59.47
2021/03/03,61.06
2021/03/04,64.03
2021/03/05,66.28
2021/03/08,64.68
2021/03/09,63.82
2021/03/10,64.69
2021/03/11,65.91
2021/03/12,65.56
2021/03/15,65.28
2021/03/16,64.94
2021/03/17,64.44
2021/03/18,59.61
2021/03/19,61.51
2021/03/22,61.29
2021/03/23,57.4
2021/03/24,60.86
2021/03/25,58.34
2021/03/26,60.72
2021/03/29,61.61
2021/03/30,60.39
2021/03/31,59.43
2021/04/01,61.24
2021/04/05,58.79
2021/04/06,59.2
2021/04/07,59.56
2021/04/08,59.78
2021/04/09,59.34
2021/04/12,59.63
2021/04/13,60.45
2021/04/14,62.75
2021/04/15,63.32
2021/04/16,63.11
2021/04/19,63.53
2021/04/20,62.42
2021/04/21,61.09
2021/04/22,61.66
2021/04/23,62.04
2021/04/26,61.97
2021/04/27,63.01
2021/04/28,63.65
2021/04/29,64.87
2021/04/30,63.49
2021/05/03,64.5
2021/05/04,66.15
2021/05/05,65.31
2021/05/06,64.86
2021/05/07,64.82
2021/05/10,64.88
2021/05/11,65.45
2021/05/12,65.72
2021/05/13,63.79
2021/05/14,65.51
2021/05/17,66.38
2021/05/18,65.29
2021/05/19,63.36
2021/05/20,61.83
2021/05/21,63.88
2021/05/24,66.03
2021/05/25,65.99
2021/05/26,66.16
2021/05/27,66.86
2021/05/28,66.63
2021/05/31,66.91
2021/06/01,67.99
2021/06/02,68.75
2021/06/03,68.93
2021/06/04,69.37
2021/06/07,69.22
2021/06/08,70.03
2021/06/09,69.75
2021/06/10,70.09
2021/06/11,70.78
2021/06/14,71.19
2021/06/15,72.48
2021/06/16,71.66
2021/06/17,71.06
2021/06/18,71.14
2021/06/21,73.08
2021/06/22,73.08
2021/06/23,73.28
2021/06/24,73.33
2021/06/25,74
2021/06/28,72.77
2021/06/29,73.44
2021/06/30,73.46
2021/07/01,74.96
2021/07/02,75.19
2021/07/05,76.36
2021/07/06,73.02
2021/07/07,71.43
2021/07/08,72.49
2021/07/09,73.85
2021/07/12,73.51
2021/07/13,74.67
2021/07/14,72.43
2021/07/15,71.18
2021/07/16,71.17
2021/07/19,66.53
2021/07/20,66.41
2021/07/21,70.22
2021/07/22,71.71
2021/07/23,72.17
2021/07/26,72.19
2021/07/27,71.89
2021/07/28,72.37
2021/07/29,73.41
2021/07/30,73.81
2021/08/02,71.49
2021/08/03,70.23
2021/08/04,68.02
2021/08/05,69.1
2021/08/06,67.83
2021/08/09,66.85
2021/08/10,68.5
2021/08/11,69.36
2021/08/12,68.91
2021/08/13,68.03
2021/08/16,67.47
2021/08/17,66.58
2021/08/18,64.27
2021/08/19,63.69
2021/08/20,61.86
2021/08/23,65.54
2021/08/24,67.64
2021/08/25,67.99
2021/08/26,67.78
2021/08/27,68.67
2021/08/30,69.12
2021/08/31,68.51
2021/09/01,68.22
2021/09/02,69.79
2021/09/03,69.1
2021/09/06,68.89
2021/09/07,68.38
2021/09/08,69.39
2021/09/09,67.92
2021/09/10,69.71
2021/09/13,70.65
2021/09/14,70.77
2021/09/15,72.64
2021/09/16,72.57
2021/09/17,71.96
2021/09/20,70.43
2021/09/21,70.82
2021/09/22,72
2021/09/23,73.24
2021/09/24,73.95
2021/09/27,75.42
2021/09/28,74.33
2021/09/29,74.76
2021/09/30,75.12
2021/10/01,75.74
2021/10/04,77.6
2021/10/05,79.08
2021/10/06,76.94
2021/10/07,78.85
2021/10/08,79.59
2021/10/11,80.49
2021/10/12,80.56
2021/10/13,80.61
2021/10/14,81.43
2021/10/15,82.66
2021/10/18,81.53
2021/10/19,82.46
2021/10/20,83.57
2021/10/21,82.62
2021/10/22,83.98
2021/10/25,83.71
2021/10/26,84.44
2021/10/27,82.07
2021/10/28,83.06
2021/10/29,83.22
2021/11/01,83.84
2021/11/02,82.96
2021/11/03,80.11
2021/11/04,79.33
2021/11/05,81.17
2021/11/08,82.21
2021/11/09,84.57
2021/11/10,81.3
2021/11/11,81.18
2021/11/12,80.69
2021/11/15,80.95
2021/11/16,80.58
2021/11/17,78.23
2021/11/18,78.32
2021/11/19,75.68
2021/11/22,76.49
2021/11/23,78.5
2021/11/24,78.32
2021/11/25,78.03
2021/11/26,68.17
2021/11/29,70.06
2021/11/30,67
2021/12/01,65.71
2021/12/02,67.37
2021/12/03,66.22
2021/12/06,70.03
2021/12/07,71.73
2021/12/08,72.65
2021/12/09,70.61
2021/12/10,71.96
2021/12/13,71.13
2021/12/14,70.29
2021/12/15,71.45
2021/12/16,71.98
2021/12/17,70.14
2021/12/20,69.22
2021/12/21,71.27
2021/12/22,73.03
2021/12/23,73.76
2021/12/27,75.94
2021/12/28,76.05
2021/12/29,76.59
2021/12/30,76.46
2021/12/31,75.45
2022/01/03,75.99
2022/01/04,77.21
2022/01/05,77.19
2022/01/06,79.65
2022/01/07,78.94
2022/01/10,78.43
2022/01/11,81.33
2022/01/12,82.76
2022/01/13,81.7
2022/01/14,84.27
2022/01/17,84.3
2022/01/18,85.89
2022/01/19,85.03
2022/01/20,84.48
2022/01/21,84.83
2022/01/24,84.08
2022/01/25,85.17
2022/01/26,87.15
2022/01/27,87.29
2022/01/28,87.29
2022/01/31,88.15
2022/02/01,88.36
2022/02/02,88.02
2022/02/03,90.17
2022/02/04,91.92
2022/02/07,91.63
